Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
430,Haaland,FWD,Manchester City,14.7,239,43,16.26,35,27,8,25.5,2.67,28.17,32,38.6,13,104,0,17,15,4,12.68,1.18,13.86,12,15.73,18,12,4,12.82,1.49,14.31,20,22.87
449,B.Fernandes,MID,Manchester Utd,10.4,221,38,21.25,34,8,23,10.72,12.13,22.85,46,43.63,6,278,0,17,5,12,5.56,6.96,12.52,23,18.41,17,3,11,5.16,5.17,10.33,23,25.22
249,João Pedro,FWD,Chelsea,7.4,176,30,23.78,34,15,9,14.32,1.96,16.28,34,35.41,10,132,0,17,8,2,6.89,0.7,7.59,15,17.98,17,7,7,7.43,1.26,8.69,19,17.43
691,Calvert-Lewin,FWD,Leeds United,5.8,140,20,24.14,34,14,2,15.09,1.05,16.13,33,33.77,8,102,0,18,8,0,8.17,0.69,8.85,16,17.81,16,6,2,6.92,0.36,7.28,17,15.96
16,Saka,MID,Arsenal,10.0,157,18,15.7,31,7,10,7.57,7.16,14.73,16,15.57,12,184,0,16,4,6,3.67,4.19,7.86,7,6.51,15,3,4,3.9,2.97,6.87,9,9.06
84,Tavernier,MID,Bournemouth,5.3,127,11,23.96,33,6,4,8.82,4.45,13.27,43,39.33,11,245,0,17,3,2,4.33,1.91,6.24,15,12.62,16,3,2,4.49,2.54,7.03,28,26.71
417,Cherki,MID,Manchester City,6.6,134,16,20.3,32,4,13,4.25,8.78,13.02,17,23.91,8,135,0,16,1,7,2.08,4.57,6.64,7,8.52,16,3,6,2.17,4.21,6.38,10,15.39
242,Dewsbury-Hall,MID,Everton,5.3,149,18,28.11,30,8,7,4.33,5.3,9.63,38,39.23,8,224,0,15,3,3,2.34,3.04,5.38,18,17.11,15,5,4,1.99,2.26,4.25,20,22.12
411,O'Reilly,DEF,Manchester City,5.3,160,10,30.19,34,5,4,6.12,2.67,8.79,25,34.97,14,172,0,15,4,4,2.71,1.46,4.17,7,13.63,19,1,0,3.41,1.21,4.62,18,21.34
151,Van Hecke,DEF,Brighton,4.7,147,8,31.28,35,3,3,3.31,1.53,4.83,41,44.61,10,310,0,16,2,2,1.94,0.88,2.82,16,17.33,19,1,1,1.37,0.65,2.01,25,27.28
5,Gabriel,DEF,Arsenal,7.3,208,30,28.49,31,3,5,2.94,1.75,4.69,19,21.08,18,272,0,16,1,2,1.69,0.88,2.57,7,9.32,15,2,3,1.25,0.87,2.12,12,11.76
6,Saliba,DEF,Arsenal,6.3,137,12,21.75,31,1,0,0.88,1.21,2.09,20,20.41,15,193,0,17,1,0,0.39,0.79,1.18,11,11.71,14,0,0,0.49,0.42,0.91,9,8.7
77,Hill,DEF,Bournemouth,4.2,107,4,25.48,28,0,3,0.89,1.15,2.03,23,31.69,8,250,0,15,0,2,0.54,0.74,1.28,15,11.85,13,0,1,0.35,0.41,0.75,8,19.84
139,Verbruggen,GK,Brighton,4.6,128,6,27.83,37,0,0,0.0,0.06,0.06,43,47.4,10,0,101,18,0,0,0.0,0.04,0.04,17,19.87,19,0,0,0.0,0.02,0.02,26,27.53
341,Darlow,GK,Leeds United,4.0,69,3,17.25,21,0,0,0.0,0.05,0.05,24,25.75,5,0,58,11,0,0,0.0,0.04,0.04,12,12.78,10,0,0,0.0,0.01,0.01,12,12.97
