Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
430,Haaland,FWD,Manchester City,14.7,34,7,2.31,4,4,1,3.05,0.69,3.74,4,5.61,2,9,0,1,1,1,1.22,0.09,1.31,0,0.24,3,3,0,1.83,0.6,2.43,4,5.37
449,B.Fernandes,MID,Manchester Utd,10.4,28,2,2.69,5,0,5,0.38,2.61,2.99,5,7.02,2,30,0,4,3,0,0.3,2.4,2.7,5,4.2,2,0,1,0.08,0.21,0.29,0,2.82
84,Tavernier,MID,Bournemouth,5.3,16,1,3.02,5,1,0,1.6,1.22,2.82,3,4.49,2,38,0,0,3,0,0.2,0.68,0.88,2,2.49,2,1,0,1.4,0.54,1.94,1,2.0
691,Calvert-Lewin,FWD,Leeds United,5.8,28,4,4.83,5,4,0,2.43,0.05,2.48,4,6.7,2,19,0,0,3,3,1.61,0.03,1.64,1,3.98,2,1,0,0.82,0.02,0.84,3,2.72
417,Cherki,MID,Manchester City,6.6,14,0,2.12,5,0,2,1.36,1.12,2.47,3,4.9,1,14,0,1,2,0,0.22,0.44,0.65,0,0.27,3,0,1,1.14,0.68,1.82,3,4.63
16,Saka,MID,Arsenal,10.0,24,4,2.4,4,1,2,0.58,1.41,1.99,0,1.21,2,21,0,2,3,1,0.54,1.16,1.7,0,0.28,1,0,0,0.04,0.25,0.29,0,0.93
411,O'Reilly,DEF,Manchester City,5.3,14,0,2.64,4,0,0,1.71,0.27,1.98,4,5.61,2,18,0,0,1,0,0.0,0.02,0.02,0,0.24,3,0,0,1.71,0.25,1.96,4,5.37
242,Dewsbury-Hall,MID,Everton,5.3,23,2,4.34,5,1,2,0.62,1.23,1.85,11,7.26,0,42,0,1,3,0,0.09,1.09,1.18,7,3.55,2,1,1,0.53,0.14,0.67,4,3.71
151,Van Hecke,DEF,Brighton,4.7,22,0,4.68,5,0,1,1.13,0.26,1.39,6,5.5,2,50,0,0,2,0,0.13,0.02,0.15,0,0.86,3,0,1,1.0,0.24,1.24,6,4.64
5,Gabriel,DEF,Arsenal,7.3,31,5,4.25,5,0,0,0.96,0.09,1.05,2,4.07,4,40,0,0,3,0,0.64,0.07,0.71,0,1.56,2,0,0,0.32,0.02,0.34,2,2.51
249,João Pedro,FWD,Chelsea,7.4,10,2,1.35,2,1,0,0.63,0.07,0.7,4,2.61,0,5,0,0,1,1,0.46,0.05,0.51,3,2.05,1,0,0,0.17,0.02,0.19,1,0.56
6,Saliba,DEF,Arsenal,6.3,29,3,4.6,5,0,0,0.0,0.51,0.51,2,4.07,4,37,0,0,3,0,0.0,0.33,0.33,0,1.56,2,0,0,0.0,0.18,0.18,2,2.51
77,Hill,DEF,Bournemouth,4.2,22,2,5.24,5,0,0,0.22,0.09,0.31,4,6.31,2,53,0,0,3,0,0.2,0.05,0.25,3,3.39,2,0,0,0.02,0.04,0.06,1,2.92
341,Darlow,GK,Leeds United,4.0,23,3,5.75,5,0,0,0.0,0.01,0.01,4,6.92,2,0,16,0,3,0,0.0,0.01,0.01,1,4.2,2,0,0,0.0,0.0,0.0,3,2.72
139,Verbruggen,GK,Brighton,4.6,18,0,3.91,5,0,0,0.0,0.01,0.01,6,5.5,2,0,10,0,2,0,0.0,0.01,0.01,0,0.86,3,0,0,0.0,0.0,0.0,6,4.64
