element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_bps_p90,roll_influence_p90,roll_creativity_p90,roll_threat_p90,roll_defensive_contribution_p90,roll_expected_goals_p90,roll_expected_assists_p90,roll_expected_goals_conceded_p90,roll_goal_overperf_p90,roll_assist_overperf_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
5,Gabriel,DEF,4,9,0.67,0.0,19.0,17.2,1.67,4.0,5.67,0.02,0.01,0.74,-0.02,-0.01,-0.4,90.0,60.33,75630.33,2093702.0,True,16
5,Gabriel,DEF,5,2,0.75,0.0,22.25,19.9,1.57,5.25,6.75,0.06,0.01,0.6,-0.06,-0.01,-0.35,90.0,60.5,79181.75,2203082.25,True,13
5,Gabriel,DEF,6,13,0.6,0.0,20.4,19.84,1.72,4.2,7.0,0.05,0.01,0.66,-0.05,-0.01,-0.26,90.0,60.6,72506.2,2282314.8,False,15
5,Gabriel,DEF,7,9,0.5,0.0,22.67,29.33,1.85,9.0,9.0,0.08,0.01,0.65,0.09,-0.01,-0.15,90.0,60.67,91460.67,2371830.17,True,19
5,Gabriel,DEF,8,12,0.5,0.0,24.33,29.63,2.13,8.67,9.83,0.08,0.02,0.48,0.09,-0.02,0.02,90.0,61.0,175569.17,2656570.67,False,10
5,Gabriel,DEF,9,9,0.5,0.0,25.5,32.97,3.52,10.17,10.83,0.11,0.02,0.52,0.05,0.15,-0.03,90.0,61.5,201422.5,2918860.67,True,8
5,Gabriel,DEF,10,12,0.67,0.0,29.5,34.93,5.15,11.33,11.17,0.13,0.02,0.52,0.04,0.15,-0.18,90.0,62.0,278525.83,3257366.83,False,3
5,Gabriel,DEF,11,1,0.67,0.17,30.67,36.27,6.82,10.5,11.33,0.09,0.11,0.55,0.07,0.23,-0.22,90.0,62.67,349717.17,3653683.67,False,17
5,Gabriel,DEF,18,1,0.67,0.17,29.5,36.57,9.0,11.17,10.83,0.09,0.11,0.48,0.07,0.22,0.02,90.0,63.5,420927.5,4121735.0,True,6
5,Gabriel,DEF,19,15,0.77,0.19,27.83,27.36,9.92,7.29,9.02,0.07,0.12,0.5,-0.07,0.26,-0.11,78.17,63.67,377583.0,3911663.33,True,2
5,Gabriel,DEF,20,9,0.79,0.2,30.07,32.8,10.11,14.04,7.71,0.15,0.12,0.55,0.05,0.27,-0.15,75.83,63.83,345316.5,3668732.17,False,4
5,Gabriel,DEF,21,6,0.59,0.2,26.7,37.15,8.11,14.84,8.31,0.14,0.12,0.74,0.26,0.08,0.05,75.83,64.17,443771.0,3513058.83,True,12
5,Gabriel,DEF,22,8,0.59,0.2,25.32,36.08,7.34,15.43,7.71,0.15,0.12,0.72,0.25,0.08,0.07,75.83,64.5,504074.67,3412308.67,False,16
5,Gabriel,DEF,23,1,0.59,0.0,23.14,32.84,5.42,15.63,6.92,0.17,0.02,0.7,0.22,-0.02,0.09,75.83,65.0,536902.5,3336030.33,True,14
5,Gabriel,DEF,24,8,0.59,0.0,22.15,31.25,3.2,15.23,7.12,0.17,0.02,0.76,0.22,-0.02,0.23,75.83,65.5,500123.17,3217558.67,False,11
5,Gabriel,DEF,25,6,0.68,0.0,23.95,32.78,2.87,15.74,8.21,0.15,0.02,0.63,0.19,-0.02,0.23,87.67,66.83,560143.5,3792621.67,True,17
5,Gabriel,DEF,26,3,0.67,0.0,21.33,26.83,2.85,9.5,8.5,0.08,0.02,0.53,0.09,-0.02,0.3,90.0,68.17,552303.83,4351226.67,False,5
5,Gabriel,DEF,26,4,0.67,0.17,21.0,24.77,3.67,7.67,9.5,0.07,0.03,0.54,-0.07,-0.03,0.12,90.0,69.17,429314.17,4794753.5,False,20
5,Gabriel,DEF,27,2,0.5,0.17,20.33,26.6,4.95,5.67,9.5,0.05,0.04,0.53,-0.05,0.12,0.47,90.0,70.0,340389.83,5107351.0,False,18
5,Gabriel,DEF,28,9,0.33,0.17,17.67,26.37,4.98,4.83,9.33,0.02,0.04,0.6,-0.02,0.12,0.56,90.0,70.5,222139.17,5291731.83,True,7
