element,name,pos,round,total_points,roll_clean_sheets_p90,roll_yellow_cards_p90,roll_saves_p90,roll_bps_p90,roll_expected_goals_conceded_p90,roll_goal_conceded_overperf_p90,roll_minutes,roll_value,roll_transfers_balance,roll_selected,was_home,opponent_team
1,Raya,GK,4,6,0.67,0.33,3.33,26.0,0.74,-0.4,90.0,55.0,68782.67,2074503.0,True,16
1,Raya,GK,5,2,0.75,0.25,2.75,25.5,0.6,-0.35,90.0,55.0,94409.25,2247317.0,True,13
1,Raya,GK,6,2,0.6,0.2,2.6,23.0,0.66,-0.26,90.0,55.0,73570.2,2350380.0,False,15
1,Raya,GK,7,6,0.5,0.17,2.5,21.0,0.65,-0.15,90.0,55.17,99183.67,2463592.33,True,19
1,Raya,GK,8,6,0.5,0.0,1.33,18.0,0.48,0.02,90.0,55.33,134569.5,2757913.5,False,10
1,Raya,GK,9,6,0.5,0.0,1.17,16.83,0.52,-0.03,90.0,55.67,118206.67,2951739.5,True,8
1,Raya,GK,10,6,0.67,0.0,1.0,19.0,0.52,-0.18,90.0,56.0,133909.33,3141636.33,False,3
1,Raya,GK,11,1,0.67,0.0,0.83,18.33,0.55,-0.22,90.0,56.5,143302.5,3316842.5,False,17
1,Raya,GK,12,2,0.67,0.0,0.5,15.83,0.48,0.02,90.0,57.17,175005.17,3527108.67,True,18
1,Raya,GK,13,3,0.67,0.0,0.33,15.0,0.39,0.11,90.0,57.67,137639.17,3691092.33,False,7
1,Raya,GK,14,6,0.5,0.0,0.83,13.67,0.44,0.23,90.0,58.17,96035.0,3782137.83,True,5
1,Raya,GK,15,2,0.5,0.0,1.0,14.5,0.42,0.24,90.0,58.5,88711.67,3892397.0,False,2
1,Raya,GK,16,2,0.33,0.0,1.5,12.5,0.7,0.29,90.0,58.83,95839.33,4004861.67,True,20
1,Raya,GK,17,7,0.17,0.0,1.67,10.5,0.7,0.47,90.0,59.17,119816.0,4146836.67,False,9
1,Raya,GK,18,2,0.33,0.0,1.83,15.5,0.66,0.17,90.0,59.33,85824.17,4244278.83,True,6
1,Raya,GK,19,2,0.33,0.0,2.0,16.33,0.79,0.04,90.0,59.5,83579.5,4337512.0,True,2
1,Raya,GK,20,1,0.33,0.0,1.83,16.33,1.1,-0.27,90.0,59.67,78564.17,4435407.67,False,4
1,Raya,GK,21,6,0.17,0.0,1.83,12.5,1.28,-0.12,90.0,59.83,49741.0,4495384.67,True,12
1,Raya,GK,22,6,0.33,0.0,1.17,13.5,0.98,-0.15,90.0,60.0,-692.83,4506710.0,False,16
1,Raya,GK,23,1,0.5,0.0,1.0,16.0,0.97,-0.31,90.0,59.83,-64737.33,4446848.0,True,14
1,Raya,GK,24,6,0.33,0.0,0.83,10.83,1.06,0.11,90.0,59.67,-67938.83,4390076.33,False,11
1,Raya,GK,25,7,0.5,0.0,0.67,13.0,0.94,0.06,90.0,59.5,-69379.5,4338332.67,True,17
1,Raya,GK,26,2,0.67,0.0,0.67,16.0,0.53,0.3,90.0,59.33,-44214.0,4327770.83,False,5
1,Raya,GK,26,1,0.67,0.0,0.83,17.67,0.54,0.12,90.0,59.17,4323.83,4345727.83,False,20
1,Raya,GK,27,3,0.5,0.0,0.83,14.0,0.53,0.47,90.0,59.0,66450.83,4393671.83,False,18
1,Raya,GK,28,3,0.33,0.0,1.5,13.17,0.6,0.56,90.0,59.17,57675.67,4424423.83,True,7
1,Raya,GK,29,7,0.33,0.0,2.17,15.67,0.66,0.17,90.0,59.33,52376.83,4449714.67,False,6
1,Raya,GK,30,7,0.33,0.0,2.33,15.83,0.77,0.06,90.0,59.5,55331.33,4478346.83,True,9
1,Raya,GK,32,1,0.33,0.0,2.5,15.5,0.91,-0.08,90.0,59.67,53941.83,4504629.33,True,4
1,Raya,GK,33,1,0.33,0.0,2.33,14.67,0.86,0.14,90.0,59.83,14561.0,4481995.67,False,13
1,Raya,GK,34,10,0.33,0.0,2.67,16.5,1.04,-0.04,90.0,60.0,-38235.33,4408532.17,True,15
1,Raya,GK,35,6,0.5,0.0,2.5,18.67,1.08,-0.25,90.0,60.0,-10600.5,4464117.0,True,10
1,Raya,GK,36,9,0.67,0.0,2.0,20.33,0.96,-0.3,90.0,60.0,24879.33,4488973.0,False,19
1,Raya,GK,37,6,0.67,0.0,2.17,21.0,1.02,-0.35,90.0,60.17,35374.0,4521358.17,True,3
32,Martinez,GK,6,3,0.33,0.0,2.0,18.0,1.45,-0.78,90.0,50.0,15331.0,198861.33,True,10
32,Martinez,GK,7,1,0.25,0.0,2.25,16.75,1.32,-0.57,90.0,50.0,9411.75,212189.75,True,3
32,Martinez,GK,8,2,0.2,0.2,2.0,15.2,1.14,-0.34,90.0,50.0,8314.8,223160.6,False,18
32,Martinez,GK,9,8,0.17,0.17,2.0,14.33,1.07,-0.24,90.0,50.0,3769.17,227337.33,True,13
32,Martinez,GK,10,1,0.33,0.17,2.33,17.17,1.07,-0.4,90.0,50.0,150.17,246869.0,False,12
32,Martinez,GK,11,14,0.17,0.17,2.33,13.33,0.92,0.08,90.0,50.0,924.0,254466.83,True,4
32,Martinez,GK,12,3,0.33,0.17,2.33,17.33,1.01,-0.18,90.0,50.0,-4844.17,253165.67,False,11
32,Martinez,GK,13,7,0.33,0.17,2.33,17.67,1.16,-0.32,90.0,50.0,12110.17,275304.17,True,20
32,Martinez,GK,15,4,0.5,0.0,2.83,21.17,1.17,-0.5,90.0,50.0,21398.83,345315.67,True,1
32,Martinez,GK,17,3,0.5,0.0,3.67,23.0,1.36,-0.7,90.0,50.17,16079.5,370608.33,True,14
32,Martinez,GK,18,2,0.33,0.0,4.0,20.67,1.39,-0.56,90.0,50.33,7942.33,396236.67,False,7
32,Martinez,GK,19,1,0.33,0.0,4.0,21.67,1.55,-0.88,90.0,50.33,6437.17,420253.67,False,1
32,Martinez,GK,20,3,0.17,0.0,4.0,15.33,1.78,-0.45,90.0,50.33,6123.5,443870.0,True,16
32,Martinez,GK,21,1,0.17,0.0,4.17,16.0,1.64,-0.3,90.0,50.33,-2997.83,455537.5,False,8
32,Martinez,GK,28,1,0.33,0.17,3.17,20.17,1.16,-0.5,90.0,50.0,20135.17,461597.17,False,20
32,Martinez,GK,29,1,0.33,0.17,2.83,19.67,1.22,-0.39,90.0,50.17,30945.83,497173.5,True,7
32,Martinez,GK,30,2,0.17,0.17,2.83,15.5,1.46,0.04,90.0,50.33,28706.17,528291.0,False,14
32,Martinez,GK,31,6,0.17,0.17,3.33,15.33,1.58,0.26,90.0,50.5,20486.17,550757.17,True,19
32,Martinez,GK,33,2,0.33,0.17,2.33,15.33,1.39,0.27,90.0,50.67,27724.83,618971.0,True,17
32,Martinez,GK,34,3,0.17,0.0,2.5,12.0,1.6,0.57,90.0,50.83,17497.83,633215.33,False,10
32,Martinez,GK,35,2,0.17,0.0,2.83,13.83,1.57,0.6,90.0,51.0,3871.0,640224.67,True,18
32,Martinez,GK,36,6,0.17,0.0,3.33,14.5,1.59,0.58,90.0,51.0,-2194.67,638160.33,False,3
32,Martinez,GK,37,2,0.17,0.0,3.33,16.83,1.29,0.54,90.0,51.0,4395.33,645008.67,True,12
33,M.Bizot,GK,16,1,0.33,0.67,2.67,9.0,2.1,-0.1,90.0,44.33,-5388.67,59946.67,False,19
