Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
430,Haaland,FWD,Manchester City,14.7,239,43,16.26,35,27,8,25.5,2.67,28.17,32,38.6,13,104,0,17,15,4,12.68,1.18,13.86,12,15.73,18,12,4,12.82,1.49,14.31,20,22.87
449,B.Fernandes,MID,Manchester Utd,10.4,221,38,21.25,34,8,23,10.72,12.13,22.85,46,43.63,6,278,0,17,5,12,5.56,6.96,12.52,23,18.41,17,3,11,5.16,5.17,10.33,23,25.22
136,Thiago,FWD,Brentford,7.3,179,22,24.52,37,22,1,20.55,1.83,22.38,49,50.13,10,209,0,19,13,1,13.1,1.31,14.41,20,24.09,18,9,0,7.45,0.52,7.97,29,26.04
237,Enzo,MID,Chelsea,6.4,156,19,24.38,35,10,5,11.26,7.22,18.48,44,43.05,8,237,0,18,5,3,5.3,4.28,9.58,22,24.06,17,5,2,5.96,2.94,8.9,22,18.99
249,João Pedro,FWD,Chelsea,7.4,176,30,23.78,34,15,9,14.32,1.96,16.28,34,35.41,10,132,0,17,8,2,6.89,0.7,7.59,15,17.98,17,7,7,7.43,1.26,8.69,19,17.43
691,Calvert-Lewin,FWD,Leeds United,5.8,140,20,24.14,34,14,2,15.09,1.05,16.13,33,33.77,8,102,0,18,8,0,8.17,0.69,8.85,16,17.81,16,6,2,6.92,0.36,7.28,17,15.96
119,Mbeumo,MID,Manchester Utd,8.3,139,15,16.75,32,10,3,11.06,4.98,16.04,37,35.39,7,136,0,17,6,1,7.01,3.17,10.18,19,15.02,15,4,2,4.05,1.81,5.86,18,20.37
283,Mateta,FWD,Crystal Palace,7.6,108,12,14.21,31,11,0,14.04,1.32,15.36,29,30.78,8,125,0,16,9,0,9.8,0.6,10.4,13,14.77,15,2,0,4.24,0.72,4.96,16,16.01
64,Watkins,FWD,Aston Villa,8.7,154,23,17.7,36,14,4,14.16,1.17,15.33,37,42.05,9,92,0,18,7,3,7.57,0.58,8.15,16,19.42,18,7,1,6.59,0.59,7.18,21,22.63
16,Saka,MID,Arsenal,10.0,157,18,15.7,31,7,10,7.57,7.16,14.73,16,15.57,12,184,0,16,4,6,3.67,4.19,7.86,7,6.51,15,3,4,3.9,2.97,6.87,9,9.06
82,Semenyo,MID,Manchester City,8.0,196,18,24.5,36,16,6,11.0,3.05,14.04,51,47.22,12,234,0,17,9,4,4.91,1.59,6.49,13,13.52,19,7,2,6.09,1.46,7.55,38,33.7
666,Gyökeres,FWD,Arsenal,9.1,127,16,13.96,35,14,1,12.1,1.84,13.93,13,17.06,12,83,0,18,9,1,8.53,0.27,8.79,6,7.32,17,5,0,3.57,1.57,5.14,7,9.74
178,Welbeck,FWD,Brighton,6.4,125,18,19.53,36,13,1,12.36,1.39,13.75,25,30.18,10,111,0,17,8,0,5.37,0.87,6.24,10,11.93,19,5,1,6.99,0.52,7.51,15,18.25
84,Tavernier,MID,Bournemouth,5.3,127,11,23.96,33,6,4,8.82,4.45,13.27,43,39.33,11,245,0,17,3,2,4.33,1.91,6.24,15,12.62,16,3,2,4.49,2.54,7.03,28,26.71
120,Schade,MID,Brentford,6.8,118,5,17.35,34,7,5,11.17,2.05,13.22,33,37.01,11,184,0,17,6,3,6.81,1.37,8.18,12,17.53,17,1,2,4.36,0.68,5.04,21,19.48
515,Gibbs-White,MID,Nott'ham Forest,7.5,179,16,23.87,36,14,4,10.34,2.87,13.21,44,48.75,10,175,0,17,6,1,5.65,1.42,7.07,18,20.07,19,8,3,4.69,1.45,6.14,26,28.68
417,Cherki,MID,Manchester City,6.6,134,16,20.3,32,4,13,4.25,8.78,13.02,17,23.91,8,135,0,16,1,7,2.08,4.57,6.64,7,8.52,16,3,6,2.17,4.21,6.38,10,15.39
381,M.Salah,MID,Liverpool,14.0,117,10,8.36,26,7,6,7.98,5.0,12.98,34,29.87,7,101,0,14,3,3,3.75,2.82,6.57,15,15.34,12,4,3,4.23,2.18,6.41,19,14.53
235,Palmer,MID,Chelsea,10.3,106,9,10.29,25,9,2,10.34,2.47,12.81,31,29.29,3,134,0,13,4,1,7.3,1.84,9.14,16,16.92,12,5,1,3.04,0.63,3.67,15,12.37
384,Gakpo,MID,Liverpool,7.3,129,5,17.67,35,7,5,8.14,4.62,12.76,38,33.38,10,148,0,17,3,1,3.37,1.84,5.21,15,15.39,18,4,4,4.77,2.78,7.55,23,17.99
661,Ekitiké,FWD,Liverpool,9.0,125,22,13.89,28,11,4,10.1,2.45,12.55,25,26.11,7,85,0,15,7,4,6.83,1.62,8.45,12,13.94,13,4,0,3.27,0.83,4.1,13,12.17
337,Raúl,FWD,Fulham,5.9,111,7,18.81,35,9,5,11.55,0.9,12.45,28,34.81,9,131,0,17,4,4,5.7,0.66,6.36,12,15.67,18,5,1,5.85,0.24,6.09,16,19.14
485,Gordon,MID,Newcastle Utd,7.2,101,10,14.03,26,6,4,8.77,3.38,12.15,30,24.78,8,91,0,13,4,2,5.71,2.55,8.26,17,13.16,13,2,2,3.06,0.83,3.89,13,11.62
267,Sarr,MID,Crystal Palace,6.4,116,9,18.12,27,9,2,10.93,1.15,12.07,28,30.08,9,134,0,14,3,0,4.11,0.58,4.69,15,14.58,13,6,2,6.82,0.57,7.38,13,15.5
97,Evanilson,FWD,Bournemouth,6.6,113,6,17.12,35,6,7,10.58,1.47,12.05,39,37.8,11,128,0,18,4,4,5.5,1.0,6.5,16,11.61,17,2,3,5.08,0.47,5.55,23,26.19
624,Bowen,FWD,West Ham,7.7,175,25,22.73,37,8,12,6.99,5.04,12.03,63,56.57,7,275,0,18,4,8,4.35,3.1,7.45,29,25.0,19,4,4,2.64,1.94,4.58,34,31.57
83,O.Dango,MID,Brentford,5.6,134,16,23.93,31,7,8,7.42,4.11,11.53,34,31.71,6,178,0,16,5,5,5.55,3.08,8.63,17,15.85,15,2,3,1.87,1.03,2.9,17,15.86
