Player ID,Name,Pos,Team,Cost,Total Points,Bonus,Points/$,Games,Goals,Assists,xG,xA,xGI,gc,xGc,clean_sheets,def_con,Saves,h_Games,h_Goals,h_Assists,h_xG,h_xA,h_xGI,h_Gc,h_xGc,a_Games,a_Goals,a_Assists,a_xG,a_xA,a_xGI,a_Gc,a_xGc
115,De Cuyper,DEF,Brighton,4.6,17,2,3.7,1,1,1,1.47,0.21,1.68,0,0.29,1,4,0,1,1,1,1.47,0.21,1.68,0,0.29,0,0,0,0.0,0.0,0.0,0,0.0
123,Hinshelwood,MID,Brighton,6.0,16,3,2.67,1,2,0,1.41,0.02,1.43,0,0.19,1,3,0,1,2,0,1.41,0.02,1.43,0,0.19,0,0,0,0.0,0.0,0.0,0,0.0
388,Guéhi,DEF,Man City,6.0,10,2,1.67,1,1,0,0.89,0.32,1.21,1,0.65,0,4,0,1,1,0,0.89,0.32,1.21,1,0.65,0,0,0,0.0,0.0,0.0,0,0.0
224,Nketiah,FWD,Crystal Palace,5.5,1,0,0.18,1,0,0,0.6,0.58,1.18,2,0.84,0,3,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.6,0.58,1.18,2,0.84
368,Szoboszlai,MID,Liverpool,7.0,8,1,1.14,1,1,0,0.85,0.27,1.12,2,1.58,0,7,0,0,0,0,0.0,0.0,0.0,0,0.0,1,1,0,0.85,0.27,1.12,2,1.58
379,Isak,FWD,Liverpool,9.0,2,0,0.22,1,0,0,1.09,0.01,1.1,2,1.58,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,1.09,0.01,1.1,2,1.58
106,Thiago,FWD,Brentford,8.0,0,0,0.0,1,0,0,1.0,0.08,1.08,0,0.5,1,5,0,1,0,0,1.0,0.08,1.08,0,0.5,0,0,0,0.0,0.0,0.0,0,0.0
40,Rogers,MID,Chelsea,7.5,8,1,1.07,1,1,0,0.96,0.1,1.06,2,1.24,0,7,0,0,0,0,0.0,0.0,0.0,0,0.0,1,1,0,0.96,0.1,1.06,2,1.24
464,Wissa,FWD,Newcastle,6.0,4,0,0.67,1,0,1,1.0,0.02,1.02,1,2.19,0,8,0,1,0,1,1.0,0.02,1.02,1,2.19,0,0,0,0.0,0.0,0.0,0,0.0
86,Lewis-Potter,MID,Brentford,5.5,10,2,1.82,1,1,0,0.77,0.12,0.89,0,0.57,1,10,0,1,1,0,0.77,0.12,0.89,0,0.57,0,0,0,0.0,0.0,0.0,0,0.0
316,Emersonn,FWD,Ipswich Town,5.5,9,3,1.64,1,1,0,0.82,0.06,0.88,1,0.63,0,3,0,1,1,0,0.82,0.06,0.88,1,0.63,0,0,0,0.0,0.0,0.0,0,0.0
411,Haaland,FWD,Man City,15.5,2,0,0.13,1,0,0,0.74,0.02,0.76,1,0.65,0,3,0,1,0,0,0.74,0.02,0.76,1,0.65,0,0,0,0.0,0.0,0.0,0,0.0
569,Gonzalo,FWD,Fulham,6.0,6,0,1.0,1,1,0,0.73,0.01,0.74,3,2.24,0,2,0,1,1,0,0.73,0.01,0.74,3,2.24,0,0,0,0.0,0.0,0.0,0,0.0
427,Mbeumo,MID,Man United,8.0,2,0,0.25,1,0,0,0.5,0.23,0.73,2,1.01,0,4,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.5,0.23,0.73,2,1.01
12,Saka,MID,Arsenal,9.5,9,1,0.95,1,1,0,0.64,0.08,0.72,0,0.06,1,7,0,1,1,0,0.64,0.08,0.72,0,0.06,0,0,0,0.0,0.0,0.0,0,0.0
223,Mateta,FWD,Crystal Palace,6.5,2,0,0.31,1,0,0,0.7,0.02,0.72,2,0.98,0,5,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.7,0.02,0.72,2,0.98
165,João Pedro,FWD,Chelsea,7.6,11,2,1.45,1,1,1,0.63,0.06,0.69,2,1.33,0,3,0,0,0,0,0.0,0.0,0.0,0,0.0,1,1,1,0.63,0.06,0.69,2,1.33
127,Gomez,MID,Brighton,5.0,6,0,1.2,1,0,1,0.18,0.48,0.66,0,0.29,1,6,0,1,0,1,0.18,0.48,0.66,0,0.29,0,0,0,0.0,0.0,0.0,0,0.0
562,Maeda,MID,Ipswich Town,5.5,2,0,0.36,1,0,0,0.61,0.0,0.61,1,0.63,0,9,0,1,0,0,0.61,0.0,0.61,1,0.63,0,0,0,0.0,0.0,0.0,0,0.0
98,Janelt,MID,Brentford,5.0,9,0,1.8,1,1,0,0.39,0.17,0.56,0,0.57,1,13,0,1,1,0,0.39,0.17,0.56,0,0.57,0,0,0,0.0,0.0,0.0,0,0.0
237,Ndiaye,MID,Everton,6.0,9,1,1.5,1,0,1,0.24,0.32,0.56,0,1.96,1,12,0,1,0,1,0.24,0.32,0.56,0,1.96,0,0,0,0.0,0.0,0.0,0,0.0
249,Barry,FWD,Everton,5.5,8,2,1.45,1,1,0,0.45,0.09,0.54,0,1.62,1,3,0,1,1,0,0.45,0.09,0.54,0,1.62,0,0,0,0.0,0.0,0.0,0,0.0
591,Enciso,MID,Ipswich Town,5.5,5,0,0.91,1,0,1,0.23,0.31,0.54,1,0.63,0,8,0,1,0,1,0.23,0.31,0.54,1,0.63,0,0,0,0.0,0.0,0.0,0,0.0
94,Schade,MID,Brentford,6.0,3,0,0.5,1,0,0,0.52,0.01,0.53,0,0.57,1,9,0,1,0,0,0.52,0.01,0.53,0,0.57,0,0,0,0.0,0.0,0.0,0,0.0
279,Ajayi,DEF,Hull City,4.0,14,2,3.5,1,1,0,0.52,0.0,0.52,0,0.86,1,7,0,1,1,0,0.52,0.0,0.52,0,0.86,0,0,0,0.0,0.0,0.0,0,0.0
125,Georginio,FWD,Brighton,5.5,5,0,0.91,1,0,1,0.08,0.44,0.52,0,0.29,1,7,0,1,0,1,0.08,0.44,0.52,0,0.29,0,0,0,0.0,0.0,0.0,0,0.0
398,Foden,MID,Man City,7.0,1,0,0.14,1,0,0,0.12,0.4,0.52,1,0.65,0,6,0,1,0,0,0.12,0.4,0.52,1,0.65,0,0,0,0.0,0.0,0.0,0,0.0
88,Kayode,DEF,Brentford,4.6,13,1,2.83,1,1,0,0.5,0.0,0.5,0,0.47,1,4,0,1,1,0,0.5,0.0,0.5,0,0.47,0,0,0,0.0,0.0,0.0,0,0.0
399,Cherki,MID,Man City,7.5,8,1,1.07,1,0,2,0.0,0.5,0.5,0,0.1,0,0,0,1,0,2,0.0,0.5,0.5,0,0.1,0,0,0,0.0,0.0,0.0,0,0.0
415,Dorgu,MID,Man United,6.0,0,0,0.0,1,0,0,0.47,0.03,0.5,2,0.92,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.47,0.03,0.5,2,0.92
68,Tavernier,MID,Bournemouth,6.0,10,3,1.67,1,1,0,0.4,0.08,0.48,2,2.25,0,8,0,0,0,0,0.0,0.0,0.0,0,0.0,1,1,0,0.4,0.08,0.48,2,2.25
387,O'Reilly,DEF,Man City,6.5,2,0,0.31,1,0,0,0.07,0.41,0.48,1,0.55,0,2,0,1,0,0,0.07,0.41,0.48,1,0.55,0,0,0,0.0,0.0,0.0,0,0.0
154,Palmer,MID,Chelsea,9.5,13,3,1.37,1,1,1,0.28,0.19,0.47,2,1.24,0,9,0,0,0,0,0.0,0.0,0.0,0,0.0,1,1,1,0.28,0.19,0.47,2,1.24
367,Gakpo,MID,Liverpool,7.0,12,3,1.71,1,1,0,0.3,0.15,0.45,2,1.58,0,12,0,0,0,0,0.0,0.0,0.0,0,0.0,1,1,0,0.3,0.15,0.45,2,1.58
428,Cunha,MID,Man United,8.0,2,0,0.25,1,0,0,0.24,0.21,0.45,2,1.01,0,3,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.24,0.21,0.45,2,1.01
290,Slater,MID,Hull City,4.5,6,0,1.33,1,0,1,0.0,0.44,0.44,0,1.83,1,3,0,1,0,1,0.0,0.44,0.44,0,1.83,0,0,0,0.0,0.0,0.0,0,0.0
418,Maguire,DEF,Man United,5.0,1,0,0.2,1,0,0,0.04,0.4,0.44,2,1.01,0,4,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.04,0.4,0.44,2,1.01
97,Jensen,MID,Brentford,5.5,6,0,1.09,1,0,1,0.08,0.34,0.42,0,0.47,1,5,0,1,0,1,0.08,0.34,0.42,0,0.47,0,0,0,0.0,0.0,0.0,0,0.0
315,Fatawu,MID,Ipswich Town,5.5,2,0,0.36,1,0,0,0.0,0.41,0.41,1,0.63,0,7,0,1,0,0,0.0,0.41,0.41,1,0.63,0,0,0,0.0,0.0,0.0,0,0.0
523,Moore,MID,Tottenham,5.0,2,0,0.4,1,0,0,0.38,0.02,0.4,3,3.02,0,2,0,0,0,0,0.0,0.0,0.0,0,0.0,1,0,0,0.38,0.02,0.4,3,3.02
