team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Augsburg,['FC Schalke 04-H'],['Ein Frankfurt-A'],['Leverkusen-H'],['Werder Bremen-A'],['Bayern Munich-H'],['SV 07 Elversberg-A'],['Union Berlin-H'],['Freiburg-H'],['RB Leipzig-A'],['Mainz-H'],['Hoffenheim-A'],['FC Koln-H'],['Dortmund-A'],['SC Paderborn 07-H'],['Stuttgart-A'],"[""M'gladbach-H""]",['Hamburg-A'],['FC Schalke 04-A'],['Ein Frankfurt-H'],['Leverkusen-A'],['Werder Bremen-H'],['Bayern Munich-A'],['SV 07 Elversberg-H'],['Union Berlin-A'],['Freiburg-A'],['RB Leipzig-H'],['Mainz-A'],['Hoffenheim-H'],['FC Koln-A'],['Dortmund-H'],['SC Paderborn 07-A'],['Stuttgart-H'],"[""M'gladbach-A""]",['Hamburg-H']
Bayern Munich,['Stuttgart-H'],['FC Schalke 04-A'],['SV 07 Elversberg-A'],['Union Berlin-H'],['Augsburg-A'],['RB Leipzig-H'],['Freiburg-A'],['Dortmund-H'],['Mainz-A'],['FC Koln-H'],['Hamburg-A'],['SC Paderborn 07-H'],['Hoffenheim-A'],['Werder Bremen-H'],"[""M'gladbach-A""]",['Leverkusen-H'],['Ein Frankfurt-A'],['Stuttgart-A'],['FC Schalke 04-H'],['SV 07 Elversberg-H'],['Union Berlin-A'],['Augsburg-H'],['RB Leipzig-A'],['Freiburg-H'],['Dortmund-A'],['Mainz-H'],['FC Koln-A'],['Hamburg-H'],['SC Paderborn 07-A'],['Hoffenheim-H'],['Werder Bremen-A'],"[""M'gladbach-H""]",['Leverkusen-A'],['Ein Frankfurt-H']
Dortmund,['Hamburg-H'],['Hoffenheim-A'],['SC Paderborn 07-H'],['Stuttgart-A'],['Werder Bremen-H'],['Union Berlin-A'],['Ein Frankfurt-H'],['Bayern Munich-A'],['SV 07 Elversberg-H'],"[""M'gladbach-A""]",['Leverkusen-H'],['FC Schalke 04-A'],['Augsburg-H'],['RB Leipzig-A'],['Mainz-H'],['FC Koln-A'],['Freiburg-H'],['Hamburg-A'],['Hoffenheim-H'],['SC Paderborn 07-A'],['Stuttgart-H'],['Werder Bremen-A'],['Union Berlin-H'],['Ein Frankfurt-A'],['Bayern Munich-H'],['SV 07 Elversberg-A'],"[""M'gladbach-H""]",['Leverkusen-A'],['FC Schalke 04-H'],['Augsburg-A'],['RB Leipzig-H'],['Mainz-A'],['FC Koln-H'],['Freiburg-A']
Ein Frankfurt,['Union Berlin-A'],['Augsburg-H'],['Mainz-A'],['Freiburg-H'],['RB Leipzig-A'],['FC Koln-H'],['Dortmund-A'],['Hamburg-H'],['SC Paderborn 07-A'],['Hoffenheim-H'],['Stuttgart-A'],['Werder Bremen-H'],"[""M'gladbach-A""]",['Leverkusen-A'],['FC Schalke 04-H'],['SV 07 Elversberg-A'],['Bayern Munich-H'],['Union Berlin-H'],['Augsburg-A'],['Mainz-H'],['Freiburg-A'],['RB Leipzig-H'],['FC Koln-A'],['Dortmund-H'],['Hamburg-A'],['SC Paderborn 07-H'],['Hoffenheim-A'],['Stuttgart-H'],['Werder Bremen-A'],"[""M'gladbach-H""]",['Leverkusen-H'],['FC Schalke 04-A'],['SV 07 Elversberg-H'],['Bayern Munich-A']
FC Koln,['Hoffenheim-H'],['Stuttgart-A'],['Werder Bremen-H'],['Hamburg-A'],"[""M'gladbach-H""]",['Ein Frankfurt-A'],['FC Schalke 04-H'],['Union Berlin-A'],['Leverkusen-H'],['Bayern Munich-A'],['SV 07 Elversberg-H'],['Augsburg-A'],['RB Leipzig-H'],['Mainz-A'],['Freiburg-H'],['Dortmund-H'],['SC Paderborn 07-A'],['Hoffenheim-A'],['Stuttgart-H'],['Werder Bremen-A'],['Hamburg-H'],"[""M'gladbach-A""]",['Ein Frankfurt-H'],['FC Schalke 04-A'],['Union Berlin-H'],['Leverkusen-A'],['Bayern Munich-H'],['SV 07 Elversberg-A'],['Augsburg-H'],['RB Leipzig-A'],['Mainz-H'],['Freiburg-A'],['Dortmund-A'],['SC Paderborn 07-H']
FC Schalke 04,['Augsburg-A'],['Bayern Munich-H'],['Union Berlin-A'],['SV 07 Elversberg-H'],['Freiburg-A'],['Mainz-H'],['FC Koln-A'],['RB Leipzig-H'],['Hoffenheim-A'],['Stuttgart-H'],['SC Paderborn 07-A'],['Dortmund-H'],['Hamburg-A'],"[""M'gladbach-H""]",['Ein Frankfurt-A'],['Werder Bremen-H'],['Leverkusen-A'],['Augsburg-H'],['Bayern Munich-A'],['Union Berlin-H'],['SV 07 Elversberg-A'],['Freiburg-H'],['Mainz-A'],['FC Koln-H'],['RB Leipzig-A'],['Hoffenheim-H'],['Stuttgart-A'],['SC Paderborn 07-H'],['Dortmund-A'],['Hamburg-H'],"[""M'gladbach-A""]",['Ein Frankfurt-H'],['Werder Bremen-A'],['Leverkusen-H']
Freiburg,['Werder Bremen-H'],['SC Paderborn 07-A'],"[""M'gladbach-H""]",['Ein Frankfurt-A'],['FC Schalke 04-H'],['Leverkusen-A'],['Bayern Munich-H'],['Augsburg-A'],['Union Berlin-H'],['SV 07 Elversberg-A'],['RB Leipzig-H'],['Hoffenheim-H'],['Mainz-A'],['Stuttgart-H'],['FC Koln-A'],['Hamburg-H'],['Dortmund-A'],['Werder Bremen-A'],['SC Paderborn 07-H'],"[""M'gladbach-A""]",['Ein Frankfurt-H'],['FC Schalke 04-A'],['Leverkusen-H'],['Bayern Munich-A'],['Augsburg-H'],['Union Berlin-A'],['SV 07 Elversberg-H'],['RB Leipzig-A'],['Hoffenheim-A'],['Mainz-H'],['Stuttgart-A'],['FC Koln-H'],['Hamburg-A'],['Dortmund-H']
Hamburg,['Dortmund-A'],['Mainz-H'],['RB Leipzig-A'],['FC Koln-H'],['Hoffenheim-A'],['Stuttgart-H'],['SC Paderborn 07-A'],['Ein Frankfurt-A'],"[""M'gladbach-H""]",['Werder Bremen-A'],['Bayern Munich-H'],['Union Berlin-A'],['FC Schalke 04-H'],['SV 07 Elversberg-A'],['Leverkusen-H'],['Freiburg-A'],['Augsburg-H'],['Dortmund-H'],['Mainz-A'],['RB Leipzig-H'],['FC Koln-A'],['Hoffenheim-H'],['Stuttgart-A'],['SC Paderborn 07-H'],['Ein Frankfurt-H'],"[""M'gladbach-A""]",['Werder Bremen-H'],['Bayern Munich-A'],['Union Berlin-H'],['FC Schalke 04-A'],['SV 07 Elversberg-H'],['Leverkusen-A'],['Freiburg-H'],['Augsburg-A']
Hoffenheim,['FC Koln-A'],['Dortmund-H'],['Stuttgart-H'],['SC Paderborn 07-A'],['Hamburg-H'],"[""M'gladbach-A""]",['Leverkusen-H'],['Werder Bremen-A'],['FC Schalke 04-H'],['Ein Frankfurt-A'],['Augsburg-H'],['Freiburg-A'],['Bayern Munich-H'],['Union Berlin-A'],['SV 07 Elversberg-H'],['Mainz-A'],['RB Leipzig-H'],['FC Koln-H'],['Dortmund-A'],['Stuttgart-A'],['SC Paderborn 07-H'],['Hamburg-A'],"[""M'gladbach-H""]",['Leverkusen-A'],['Werder Bremen-H'],['FC Schalke 04-A'],['Ein Frankfurt-H'],['Augsburg-A'],['Freiburg-H'],['Bayern Munich-A'],['Union Berlin-H'],['SV 07 Elversberg-A'],['Mainz-H'],['RB Leipzig-A']
Leverkusen,['SV 07 Elversberg-A'],['Union Berlin-H'],['Augsburg-A'],['RB Leipzig-H'],['Mainz-A'],['Freiburg-H'],['Hoffenheim-A'],['Stuttgart-H'],['FC Koln-A'],['SC Paderborn 07-H'],['Dortmund-A'],"[""M'gladbach-H""]",['Werder Bremen-A'],['Ein Frankfurt-H'],['Hamburg-A'],['Bayern Munich-A'],['FC Schalke 04-H'],['SV 07 Elversberg-H'],['Union Berlin-A'],['Augsburg-H'],['RB Leipzig-A'],['Mainz-H'],['Freiburg-A'],['Hoffenheim-H'],['Stuttgart-A'],['FC Koln-H'],['SC Paderborn 07-A'],['Dortmund-H'],"[""M'gladbach-A""]",['Werder Bremen-H'],['Ein Frankfurt-A'],['Hamburg-H'],['Bayern Munich-H'],['FC Schalke 04-A']
