team,opponents,expected_gf,expected_ga
Chelsea,Newcastle,2.43,1.33
Liverpool,Tottenham,2.36,1.1
Man City,West Ham,2.13,0.94
Bournemouth,Burnley,1.99,1.29
Arsenal,Everton,1.78,0.68
Man United,Aston Villa,1.7,1.14
Brentford,Wolves,1.62,0.78
Newcastle,Chelsea,1.33,2.43
Fulham,Nott'm Forest,1.31,1.22
Crystal Palace,Leeds,1.3,1.26
Burnley,Bournemouth,1.29,1.99
Leeds,Crystal Palace,1.26,1.3
Nott'm Forest,Fulham,1.22,1.31
Aston Villa,Man United,1.14,1.7
Tottenham,Liverpool,1.1,2.36
Brighton,Sunderland,0.99,0.82
West Ham,Man City,0.94,2.13
Sunderland,Brighton,0.82,0.99
Wolves,Brentford,0.78,1.62
Everton,Arsenal,0.68,1.78
