team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Man City,37,76.0,33.0,18,44.0,12.0,32.0,21.0,19
Arsenal,37,69.0,26.0,19,41.0,11.0,28.0,15.0,18
Man United,37,66.0,50.0,19,39.0,24.0,27.0,26.0,18
Liverpool,37,62.0,52.0,18,33.0,19.0,29.0,33.0,19
Bournemouth,37,57.0,53.0,19,29.0,20.0,28.0,33.0,18
Chelsea,37,57.0,50.0,19,26.0,25.0,31.0,25.0,18
Aston Villa,37,54.0,48.0,19,32.0,22.0,22.0,26.0,18
Brentford,37,54.0,51.0,19,33.0,21.0,21.0,30.0,18
Newcastle,37,53.0,53.0,19,36.0,30.0,17.0,23.0,18
Brighton,37,52.0,43.0,18,30.0,17.0,22.0,26.0,19
Leeds,37,49.0,53.0,19,29.0,21.0,20.0,32.0,18
Everton,37,47.0,49.0,19,26.0,27.0,21.0,22.0,18
Nott'm Forest,37,47.0,50.0,18,19.0,22.0,28.0,28.0,19
Tottenham,37,47.0,57.0,18,21.0,31.0,26.0,26.0,19
Fulham,37,45.0,51.0,18,28.0,20.0,17.0,31.0,19
West Ham,37,43.0,65.0,18,24.0,30.0,19.0,35.0,19
Crystal Palace,37,40.0,49.0,18,18.0,21.0,22.0,28.0,19
Sunderland,37,40.0,47.0,18,23.0,19.0,17.0,28.0,19
Burnley,37,37.0,74.0,18,17.0,28.0,20.0,46.0,19
Wolves,37,26.0,67.0,19,19.0,34.0,7.0,33.0,18
