team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Barcelona,37,94.0,33.0,19,57.0,10.0,37.0,23.0,18
Real Madrid,37,73.0,33.0,18,41.0,14.0,32.0,19.0,19
Villarreal,37,67.0,45.0,18,43.0,18.0,24.0,27.0,19
Ath Madrid,37,61.0,39.0,19,39.0,17.0,22.0,22.0,18
Sociedad,37,58.0,60.0,19,37.0,31.0,21.0,29.0,18
Betis,37,57.0,47.0,18,32.0,18.0,25.0,29.0,19
Celta,37,52.0,48.0,18,28.0,28.0,24.0,20.0,19
Elche,37,48.0,56.0,19,30.0,19.0,18.0,37.0,18
Sevilla,37,46.0,59.0,19,24.0,25.0,22.0,34.0,18
Levante,37,46.0,59.0,19,26.0,28.0,20.0,31.0,18
Mallorca,37,44.0,57.0,18,28.0,21.0,16.0,36.0,19
Osasuna,37,44.0,49.0,19,31.0,24.0,13.0,25.0,18
Valencia,37,43.0,54.0,18,24.0,22.0,19.0,32.0,19
Alaves,37,43.0,54.0,18,24.0,23.0,19.0,31.0,19
Espanol,37,42.0,54.0,18,20.0,23.0,22.0,31.0,19
Ath Bilbao,37,41.0,54.0,19,22.0,21.0,19.0,33.0,18
Vallecano,37,39.0,43.0,19,24.0,15.0,15.0,28.0,18
Girona,37,38.0,54.0,18,20.0,26.0,18.0,28.0,19
Getafe,37,31.0,38.0,18,17.0,16.0,14.0,22.0,19
Oviedo,37,26.0,57.0,19,9.0,18.0,17.0,39.0,18
