team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Villarreal,5,10.0,8.0,3,9.0,5.0,1.0,3.0,2
Betis,5,9.0,7.0,3,6.0,2.0,3.0,5.0,2
Vallecano,5,9.0,5.0,3,6.0,4.0,3.0,1.0,2
Sociedad,5,9.0,11.0,2,5.0,6.0,4.0,5.0,3
Levante,5,9.0,9.0,2,5.0,2.0,4.0,7.0,3
Barcelona,5,9.0,3.0,2,5.0,1.0,4.0,2.0,3
Celta,5,8.0,7.0,2,5.0,4.0,3.0,3.0,3
Valencia,5,8.0,7.0,3,3.0,4.0,5.0,3.0,2
Ath Madrid,5,8.0,4.0,3,4.0,3.0,4.0,1.0,2
Ath Bilbao,5,7.0,9.0,2,1.0,2.0,6.0,7.0,3
Osasuna,5,7.0,10.0,4,5.0,7.0,2.0,3.0,1
Sevilla,5,7.0,6.0,3,3.0,2.0,4.0,4.0,2
Alaves,5,7.0,6.0,3,5.0,5.0,2.0,1.0,2
Elche,5,6.0,7.0,2,2.0,1.0,4.0,6.0,3
Real Madrid,5,6.0,3.0,1,2.0,0.0,4.0,3.0,4
Espanol,5,5.0,5.0,3,2.0,2.0,3.0,3.0,2
Mallorca,5,4.0,8.0,1,1.0,1.0,3.0,7.0,4
Getafe,5,3.0,6.0,3,3.0,5.0,0.0,1.0,2
Girona,5,3.0,6.0,2,1.0,2.0,2.0,4.0,3
Oviedo,5,1.0,8.0,3,1.0,3.0,0.0,5.0,2
