team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Inter,37,86.0,32.0,19,50.0,16.0,36.0,16.0,18
Como,37,61.0,28.0,19,35.0,15.0,26.0,13.0,18
Juventus,37,59.0,32.0,19,35.0,16.0,24.0,16.0,18
Roma,37,57.0,31.0,19,33.0,10.0,24.0,21.0,18
Napoli,37,57.0,36.0,18,32.0,18.0,25.0,18.0,19
Atalanta,37,50.0,35.0,19,25.0,15.0,25.0,20.0,18
Bologna,37,46.0,43.0,18,16.0,20.0,30.0,23.0,19
Sassuolo,37,46.0,49.0,19,25.0,26.0,21.0,23.0,18
Udinese,37,45.0,47.0,19,18.0,21.0,27.0,26.0,18
Torino,37,42.0,61.0,18,25.0,27.0,17.0,34.0,19
Genoa,37,41.0,50.0,19,22.0,26.0,19.0,24.0,18
Fiorentina,37,40.0,49.0,18,20.0,20.0,20.0,29.0,19
Lazio,37,39.0,39.0,18,25.0,24.0,14.0,15.0,19
Cagliari,37,38.0,52.0,19,22.0,23.0,16.0,29.0,18
Cremonese,37,31.0,53.0,18,17.0,25.0,14.0,28.0,19
Lecce,37,27.0,50.0,18,12.0,24.0,15.0,26.0,19
Parma,37,27.0,46.0,18,15.0,25.0,12.0,21.0,19
Pisa,37,25.0,69.0,19,9.0,26.0,16.0,43.0,18
Verona,37,25.0,59.0,18,12.0,26.0,13.0,33.0,19
Milan,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
