team,games,gf,ga,h_games,h_gf,h_ga,a_gf,a_ga,a_games
Como,5,12.0,3.0,3,10.0,2.0,2.0,1.0,2
Juventus,5,11.0,4.0,3,7.0,1.0,4.0,3.0,2
Torino,5,10.0,6.0,2,6.0,1.0,4.0,5.0,3
Inter,5,9.0,5.0,3,8.0,3.0,1.0,2.0,2
Atalanta,5,8.0,5.0,2,3.0,2.0,5.0,3.0,3
Roma,5,8.0,12.0,2,4.0,3.0,4.0,9.0,3
Napoli,5,8.0,3.0,3,5.0,2.0,3.0,1.0,2
Udinese,5,7.0,3.0,3,3.0,1.0,4.0,2.0,2
Fiorentina,5,6.0,5.0,2,1.0,1.0,5.0,4.0,3
Lazio,5,6.0,4.0,3,4.0,2.0,2.0,2.0,2
Milan,5,6.0,4.0,2,4.0,2.0,2.0,2.0,3
Sassuolo,5,6.0,6.0,3,4.0,3.0,2.0,3.0,2
Cremonese,5,5.0,10.0,3,2.0,8.0,3.0,2.0,2
Bologna,5,5.0,5.0,2,1.0,4.0,4.0,1.0,3
Lecce,5,4.0,10.0,2,2.0,4.0,2.0,6.0,3
Genoa,5,4.0,7.0,2,2.0,3.0,2.0,4.0,3
Cagliari,5,4.0,9.0,2,1.0,3.0,3.0,6.0,3
Pisa,5,3.0,12.0,3,3.0,3.0,0.0,9.0,2
Parma,5,3.0,8.0,2,1.0,3.0,2.0,5.0,3
Verona,5,3.0,7.0,3,1.0,5.0,2.0,2.0,2
